RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,DIRECCION COMPLETA,Latitude,Longitude,TELEFONOS,RES.,PROPIETARIO
HELADERIA,EDUARDO III,AV.SAN MARTIN SUR,1163,CIUDAD,GODOY CRUZ,AV.SAN MARTIN SUR 1163 CIUDAD GODOY CRUZ,-32.93774590,-68.85047120,,507/86,"FERNANDEZ,ELSA"
PARRILLADA,MI KINCHO,PEDRO VARGAS,2221,CIUDAD,SAN RAFAEL,PEDRO VARGAS 2221 CIUDAD SAN RAFAEL,-34.61289220,-68.33906220,,236/93,"BONICELLI, HUMBERTO"
CARRITO-BAR,TITOS,GUEMES,320,CIUDAD,GUAYMALLEN,GUEMES 320 CIUDAD GUAYMALLEN,-32.89552280,-68.82832730,4317629-4315365,674/97,"MEDINA, ISABEL"
CARRITO-BAR,LA JUANITA,EL SALTO,5500,LAS PAREDES,SAN RAFAEL,EL SALTO 5500 LAS PAREDES SAN RAFAEL,-34.58333300,-68.45000000,0260-4573784,140/18,"LUNA ASSAD, MAYRA AYELEN"
CONFITERIA,BWLIEVE IRISH PUB IRLANDES,AV.COLON,241,CIUDAD,CAPITAL,AV.COLON 241 CIUDAD CAPITAL,-32.89424780,-68.84360240,,E/T,"RODRIGUEZ, GONZALO DAVID"
PANCHERIA,PANCHO GRANDE,GRAL.PAZ,244,CIUDAD,CAPITAL,GRAL.PAZ 244 CIUDAD CAPITAL,-32.88478570,-68.84103050,4200270,E/T,EMPRENDIMIENTOS GASTRONOMICOS P&G S.A.
RESTAURANTE,PAREDITAS,RUTA 40,KM.3175,PAREDITAS,SAN CARLOS,RUTA 40 KM.3175 PAREDITAS SAN CARLOS,-33.76783130,-69.05908280,02622-493061,E/T,"VIDELA, MARIANO"
RESTAURANTE,LOS CACTUS CACHEUTA,RUTA 82,KM38,CACHEUTA,LUJAN,RUTA 82 KM38 CACHEUTA LUJAN,-33.01461880,-69.11852430,02624-490159,194/17,LOS CACTUS CACHEUTA S.A.
CARRITO,PAPAS FRITAS SHOW,AV.CHAMPAGNAT,639,,LAS HERAS,AV.CHAMPAGNAT 639 LAS HERAS,-32.85942210,-68.88421780,,689/97,"AMADO, MARIN"
CANTINA,CENTRO EMPL.COMERCIO,MATHUS HOYO,2525,BERMEJO,GUAYMALLEN,MATHUS HOYO 2525 BERMEJO GUAYMALLEN,-32.86865510,-68.79054320,4511073,696/97,"CAROL, DANIEL NESTOR"
RESTAURANTE,CABORANA PLAYA,PERILAGO DIQUE VALLE GRANDE,,EL NIHUIL,SAN RAFAEL,PERILAGO DIQUE VALLE GRANDE EL NIHUIL SAN RAFAEL,-34.84797650,-68.52024340,0260-4593908,E/T,"BIANCJI, ALDO MARCELO"
SANDWICHERIA,EL POPO,BANDERA DE LOS ANDES,5208,VILLA NUEVA,GUAYMALLEN,BANDERA DE LOS ANDES 5208 VILLA NUEVA GUAYMALLEN,-32.90738860,-68.77986750,4213803,709/97,"PERALTA, GERMAN ANGEL"
CAFETERIA,FARO,SARMIENTO,30,SAN JOSE,GUAYMALLEN,SARMIENTO 30 SAN JOSE GUAYMALLEN,-32.89951290,-68.80376330,4233169,E/T,M Y T SERVICIOS COMERCIALES S.A.
